area_code,city_name_ja,city_name_en,prefecture_name_ja,prefecture_name_en
00000,全国,Japan (nationwide),全国,Nationwide
01A01,札幌市,Sapporo,北海道,Hokkaido
02A01,青森市,Aomori,青森県,Aomori
03A01,盛岡市,Morioka,岩手県,Iwate
04A01,仙台市,Sendai,宮城県,Miyagi
05A01,秋田市,Akita,秋田県,Akita
06A01,山形市,Yamagata,山形県,Yamagata
07A01,福島市,Fukushima,福島県,Fukushima
08A01,水戸市,Mito,茨城県,Ibaraki
09A01,宇都宮市,Utsunomiya,栃木県,Tochigi
10A01,前橋市,Maebashi,群馬県,Gunma
11A01,さいたま市,Saitama,埼玉県,Saitama
12A01,千葉市,Chiba,千葉県,Chiba
13A01,東京都区部,Tokyo (23 wards),東京都,Tokyo
14A01,横浜市,Yokohama,神奈川県,Kanagawa
15A01,新潟市,Niigata,新潟県,Niigata
16A01,富山市,Toyama,富山県,Toyama
17A01,金沢市,Kanazawa,石川県,Ishikawa
18A01,福井市,Fukui,福井県,Fukui
19A01,甲府市,Kofu,山梨県,Yamanashi
20A01,長野市,Nagano,長野県,Nagano
21A01,岐阜市,Gifu,岐阜県,Gifu
22A01,静岡市,Shizuoka,静岡県,Shizuoka
23A01,名古屋市,Nagoya,愛知県,Aichi
24A01,津市,Tsu,三重県,Mie
25A01,大津市,Otsu,滋賀県,Shiga
26A01,京都市,Kyoto,京都府,Kyoto
27A01,大阪市,Osaka,大阪府,Osaka
28A01,神戸市,Kobe,兵庫県,Hyogo
29A01,奈良市,Nara,奈良県,Nara
30A01,和歌山市,Wakayama,和歌山県,Wakayama
31A01,鳥取市,Tottori,鳥取県,Tottori
32A01,松江市,Matsue,島根県,Shimane
33A01,岡山市,Okayama,岡山県,Okayama
34A01,広島市,Hiroshima,広島県,Hiroshima
35A01,山口市,Yamaguchi,山口県,Yamaguchi
36A01,徳島市,Tokushima,徳島県,Tokushima
37A01,高松市,Takamatsu,香川県,Kagawa
38A01,松山市,Matsuyama,愛媛県,Ehime
39A01,高知市,Kochi,高知県,Kochi
40A02,福岡市,Fukuoka,福岡県,Fukuoka
41A01,佐賀市,Saga,佐賀県,Saga
42A01,長崎市,Nagasaki,長崎県,Nagasaki
43A01,熊本市,Kumamoto,熊本県,Kumamoto
44A01,大分市,Oita,大分県,Oita
45A01,宮崎市,Miyazaki,宮崎県,Miyazaki
46A01,鹿児島市,Kagoshima,鹿児島県,Kagoshima
47A01,那覇市,Naha,沖縄県,Okinawa
